Temps;EA0
6.867;-1.46162112057209
6.888;-1.30655521154404
6.909;-1.14148505032063
6.93;-0.966410636901855
6.951;-0.801340475678444
6.972;-0.631268188357353
6.993;-0.481204405426979
7.014;-0.316134244203567
7.035;-0.141059830784798
7.056;0.0440188348293304
7.077;0.229097500443459
7.098;0.409174039959908
7.119;0.579246327280998
7.14;0.749318614602089
7.161;0.914388775825501
7.182;1.06445255875587
7.203;1.19950996339321
7.224;1.30955673754215
7.245;1.39959500730038
7.266;1.47962902486324
7.287;1.53965453803539
7.308;1.56966729462147
7.329;1.58967579901218
7.35;1.57967154681683
7.371;1.54965879023075
7.392;1.49963752925396
7.413;1.41960351169109
7.434;1.33956949412823
7.455;1.23452484607697
7.476;1.10446956753731
7.497;0.959407910704613
7.518;0.804342001676559
7.539;0.639271840453148
7.56;0.469199553132057
7.581;0.299127265810966
7.602;0.109046474099159
7.623;-0.0710300654172897
7.644;-0.24610447883606
7.665;-0.41617676615715
7.686;-0.571242675185204
7.707;-0.721306458115578
7.728;-0.88137449324131
7.749;-1.04644465446472
7.77;-1.20151056349278
7.791;-1.36658072471619
7.812;-1.5066402554512
7.833;-1.62168915569782
7.854;-1.73173592984676
7.875;-1.82177419960499
7.896;-1.90681034326553
7.917;-1.96683585643768
7.938;-2.00685286521912
7.959;-2.02686136960983
7.98;-2.03186349570751
8.001;-2.0118549913168
8.022;-1.96683585643768
8.043;-1.91181246936321
8.064;-1.82677632570267
8.085;-1.72673380374908
8.106;-1.63169340789318
8.127;-1.51164238154888
8.148;-1.37658497691154
8.169;-1.22151906788349
8.19;-1.06145103275776
8.211;-0.901382997632027
8.232;-0.741314962506294
8.253;-0.59125117957592
8.274;-0.436185270547867
8.295;-0.281119361519814
8.316;-0.106044948101044
8.337;0.0590252131223679
8.358;0.249106004834175
8.379;0.414176166057587
8.4;0.579246327280998
8.421;0.734312236309052
8.442;0.894380271434784
8.463;1.02943767607212
8.484;1.15949295461178
8.505;1.24953122437
