Temps;EA0
0;-3.52749919891357
0.021;-3.5224970728159
0.042;-3.52749919891357
0.063;-3.5224970728159
0.084;-3.53750345110893
0.105;-3.53750345110893
0.126;-3.54250557720661
0.147;-3.54250557720661
0.168;-3.54250557720661
0.189;-3.54250557720661
0.21;-3.54250557720661
0.231;-3.54250557720661
0.252;-3.54250557720661
0.273;-3.54250557720661
0.294;-3.54750770330429
0.315;-3.54250557720661
0.336;-3.54750770330429
0.357;-3.55250982940197
0.378;-3.55250982940197
0.399;-3.55250982940197
0.42;-3.54750770330429
0.441;-3.54750770330429
0.462;-3.54750770330429
0.483;-3.53750345110893
0.504;-3.53750345110893
0.525;-3.54250557720661
0.546;-3.53250132501125
0.567;-3.53750345110893
0.588;-3.53750345110893
0.609;-3.53750345110893
0.63;-3.53750345110893
0.651;-3.55250982940197
0.672;-3.55751195549965
0.693;-3.56251408159733
0.714;-3.57752045989037
0.735;-3.57752045989037
0.756;-3.58252258598804
0.777;-3.58752471208572
0.798;-3.58752471208572
0.819;-3.58752471208572
0.84;-3.5925268381834
0.861;-3.58752471208572
0.882;-3.58252258598804
0.903;-3.5925268381834
0.924;-3.59752896428108
0.945;-3.60253109037876
0.966;-3.59752896428108
0.987;-3.60253109037876
1.008;-3.60753321647644
1.029;-3.60753321647644
1.05;-3.60753321647644
1.071;-3.60753321647644
1.092;-3.61253534257412
1.113;-3.6175374686718
1.134;-3.61253534257412
1.155;-3.61253534257412
1.176;-3.62754172086716
1.197;-3.62253959476948
1.218;-3.62754172086716
1.239;-3.62253959476948
1.26;-3.63254384696484
1.281;-3.63254384696484
1.302;-3.63254384696484
1.323;-3.63254384696484
1.344;-3.63254384696484
1.365;-3.62754172086716
1.386;-3.62754172086716
1.407;-3.63254384696484
1.428;-3.62754172086716
1.449;-3.63254384696484
1.47;-3.63254384696484
1.491;-3.63254384696484
1.512;-3.63754597306252
1.533;-3.63754597306252
1.554;-3.64254809916019
1.575;-3.64755022525787
1.596;-3.64755022525787
1.617;-3.64254809916019
1.638;-3.64254809916019
1.659;-3.62754172086716
1.68;-3.5925268381834
1.701;-3.5224970728159
1.722;-3.41745242476463
1.743;-3.27739289402962
1.764;-3.11732485890388
1.785;-2.9222419410944
1.806;-2.69714626669884
1.827;-2.43703570961952
1.848;-2.17192302644253
1.869;-1.86179120838642
1.89;-1.56166364252567
1.911;-1.23652544617653
1.932;-0.916389375925064
1.953;-0.611259683966637
1.974;-0.331140622496605
1.995;-0.0110045522451401
2.016;0.324137896299362
2.037;0.644273966550827
2.058;0.984418541193008
2.079;1.31455886363983
2.1;1.62469068169594
2.121;1.93482249975204
2.142;2.21994368731976
2.163;2.44003723561764
2.184;2.65512865781784
2.205;2.83020307123661
2.226;2.97526472806931
2.247;3.08531150221825
