Temps;EA0
2.541;0.999424919486046
2.562;1.17950145900249
2.583;1.34957374632359
2.604;1.47962902486324
2.625;1.62969280779362
2.646;1.75974808633327
2.667;1.87979911267757
2.688;1.97984163463116
2.709;2.05987565219402
2.73;2.12990541756153
2.751;2.17992667853832
2.772;2.2099394351244
2.793;2.22494581341743
2.814;2.22494581341743
2.835;2.19993518292904
2.856;2.16492030024529
2.877;2.10489478707314
2.898;2.03486502170563
2.919;1.93982462584972
2.94;1.84478422999382
2.961;1.71472895145416
2.982;1.58967579901218
3.003;1.44461414217949
3.024;1.28454610705376
3.045;1.11947594583035
3.066;0.939399406313896
3.087;0.769327118992806
3.108;0.589250579476356
3.129;0.414176166057587
3.15;0.224095374345779
3.171;0.0440188348293304
3.192;-0.131055578589439
3.213;-0.296125739812851
3.234;-0.446189522743225
3.255;-0.606257557868958
3.276;-0.776329845190048
3.297;-0.94140000641346
3.318;-1.11647441983223
3.339;-1.28654670715332
3.36;-1.44161261618137
3.381;-1.57166789472103
3.402;-1.71672955155373
3.423;-1.84678483009338
3.444;-1.96183373034
3.465;-2.05687412619591
3.486;-2.13690814375877
3.507;-2.2019357830286
3.528;-2.25695917010307
3.549;-2.29197405278683
3.57;-2.31698468327522
3.591;-2.3219868093729
3.612;-2.31198255717754
3.633;-2.28697192668915
3.654;-2.24195279181004
3.675;-2.18692940473557
3.696;-2.11189751327038
3.717;-2.03186349570751
3.738;-1.93182097375393
3.759;-1.81176994740963
3.78;-1.67171041667461
3.801;-1.53665301203728
3.822;-1.39659348130226
3.843;-1.23152332007885
3.864;-1.06145103275776
3.885;-0.896380871534348
3.906;-0.726308584213257
3.927;-0.561238422989845
3.948;-0.411174640059471
3.969;-0.251106604933739
3.99;-0.081034317612648
4.011;0.0890379697084427
4.032;0.269114509224892
4.053;0.459195300936699
4.074;0.634269714355469
4.095;0.814346253871918
4.116;0.984418541193008
4.137;1.16449508070946
4.158;1.32456311583519
4.179;1.46962477266788
4.2;1.6096843034029
4.221;1.73973958194256
4.242;1.85478848218918
4.263;1.95983313024044
4.284;2.04486927390099
4.305;2.10989691317081
4.326;2.15991817414761
4.347;2.19993518292904
4.368;2.2099394351244
4.389;2.2099394351244
4.41;2.19493305683136
4.431;2.14991392195225
4.452;2.09489053487778
4.473;2.02486076951027
4.494;1.93482249975204
4.515;1.82977785170078
4.536;1.70972682535648
4.557;1.57967154681683
4.578;1.43961201608181
4.599;1.29455035924912
4.62;1.12447807192802
4.641;0.949403658509254
4.662;0.769327118992806
4.683;0.599254831671715
4.704;0.419178292155266
4.725;0.234099626541138
4.746;0.0440188348293304
4.767;-0.12605345249176
4.788;-0.286121487617493
4.809;-0.446189522743225
4.83;-0.601255431771278
4.851;-0.761323466897011
4.872;-0.936397880315781
4.893;-1.10647016763687
4.914;-1.2665382027626
4.935;-1.42660623788834
4.956;-1.56166364252567
4.977;-1.69672104716301
4.998;-1.82677632570267
5.019;-1.94182522594929
5.04;-2.04186774790287
5.061;-2.11689963936806
5.082;-2.18692940473557
5.103;-2.24195279181004
5.124;-2.27696767449379
5.145;-2.30197830498219
5.166;-2.30698043107986
5.187;-2.29697617888451
5.208;-2.26696342229843
5.229;-2.23194853961468
5.25;-2.17692515254021
5.271;-2.10189326107502
5.292;-2.02185924351215
5.313;-1.91681459546089
5.334;-1.79676356911659
5.355;-1.66670829057693
5.376;-1.5316508859396
5.397;-1.3865892291069
5.418;-1.23152332007885
5.439;-1.06145103275776
5.46;-0.896380871534348
5.481;-0.731310710310936
5.502;-0.561238422989845
5.523;-0.41617676615715
5.544;-0.251106604933739
5.565;-0.0860364437103271
5.586;0.0840358436107635
5.607;0.264112383127213
5.628;0.45419317483902
5.649;0.62426546216011
5.67;0.804342001676559
5.691;0.97441428899765
5.712;1.14448657631874
5.733;1.31455886363983
5.754;1.45461839437485
5.775;1.58967579901218
5.796;1.71973107755184
5.817;1.83978210389614
5.838;1.93482249975204
5.859;2.02486076951027
5.88;2.0898884087801
5.901;2.13990966975689
5.922;2.17992667853832
5.943;2.19493305683136
5.964;2.19493305683136
5.985;2.17492455244064
6.006;2.13490754365921
6.027;2.0898884087801
6.048;2.00485226511955
6.069;1.92481824755669
6.09;1.81977359950542
6.111;1.69972257316113
6.132;1.56466516852379
6.153;1.42960776388645
6.174;1.28454610705376
6.195;1.11447381973267
6.216;0.939399406313896
6.237;0.769327118992806
6.258;0.594252705574036
6.279;0.424180418252945
6.3;0.239101752638817
6.321;0.0540230870246887
6.342;-0.116049200296402
6.363;-0.281119361519814
6.384;-0.436185270547867
6.405;-0.586249053478241
6.426;-0.751319214701652
6.447;-0.921391502022743
6.468;-1.08145953714848
6.489;-1.25653395056725
6.51;-1.40159560739994
6.531;-1.54665726423264
6.552;-1.68171466886997
6.573;-1.80676782131195
6.594;-1.92181672155857
6.615;-2.02185924351215
6.636;-2.10189326107502
6.657;-2.17192302644253
6.678;-2.22194428741932
6.699;-2.26196129620075
6.72;-2.28196980059147
6.741;-2.29197405278683
6.762;-2.27696767449379
6.783;-2.25695917010307
6.804;-2.21194003522396
6.825;-2.16191877424717
6.846;-2.09188900887966
6.867;-2.00685286521912
6.888;-1.90180821716785
6.909;-1.79176144301891
6.93;-1.6517019122839
6.951;-1.52664875984192
6.972;-1.37158285081387
6.993;-1.23152332007885
7.014;-1.05644890666008
7.035;-0.891378745436668
7.056;-0.726308584213257
7.077;-0.566240549087524
7.098;-0.411174640059471
7.119;-0.261110857129097
7.14;-0.0910385698080063
7.161;0.0790337175130844
7.182;0.259110257029533
7.203;0.449191048741341
7.224;0.614261209964752
7.245;0.794337749481201
7.266;0.954405784606934
7.287;1.13948445022106
7.308;1.29955248534679
7.329;1.44461414217949
7.35;1.57967154681683
7.371;1.7047246992588
7.392;1.81977359950542
7.413;1.91981612145901
7.434;2.00485226511955
7.455;2.07488203048706
7.476;2.12490329146385
7.497;2.16492030024529
7.518;2.17492455244064
7.539;2.17492455244064
7.56;2.14991392195225
7.581;2.11990116536617
7.602;2.0648777782917
7.623;1.99484801292419
7.644;1.90480974316597
7.665;1.80476722121239
7.686;1.68971832096577
7.707;1.56466516852379
7.728;1.42460563778877
7.749;1.27954398095608
7.77;1.10947169363499
7.791;0.934397280216217
7.812;0.764324992895126
7.833;0.594252705574036
7.854;0.429182544350624
7.875;0.234099626541138
7.896;0.0540230870246887
7.917;-0.111047074198723
7.938;-0.271115109324455
7.959;-0.431183144450188
7.98;-0.581246927380562
8.001;-0.741314962506294
8.022;-0.906385123729706
8.043;-1.0764574110508
8.064;-1.24652969837189
8.085;-1.3865892291069
8.106;-1.5316508859396
8.127;-1.66670829057693
8.148;-1.79176144301891
8.169;-1.90681034326553
8.19;-2.00685286521912
8.211;-2.09188900887966
8.232;-2.15691664814949
8.253;-2.20693790912628
8.274;-2.24195279181004
8.295;-2.26696342229843
8.316;-2.27696767449379
8.337;-2.26696342229843
8.358;-2.24195279181004
8.379;-2.19693365693092
8.4;-2.14691239595413
8.421;-2.0818847566843
8.442;-1.99184648692608
8.463;-1.89680609107018
8.484;-1.78175719082355
8.505;-1.64169766008854
8.526;-1.51164238154888
8.547;-1.37658497691154
8.568;-1.22151906788349
8.589;-1.0514467805624
8.61;-0.891378745436668
8.631;-0.721306458115578
8.652;-0.561238422989845
8.673;-0.411174640059471
8.694;-0.261110857129097
