Temps;EA0
0;-3.49248431622982
0.021;-3.50248856842518
0.042;-3.50248856842518
0.063;-3.50749069452286
0.084;-3.50749069452286
0.105;-3.50749069452286
0.126;-3.50749069452286
0.147;-3.50248856842518
0.168;-3.4974864423275
0.189;-3.4974864423275
0.21;-3.4974864423275
0.231;-3.48748219013214
0.252;-3.49248431622982
0.273;-3.49248431622982
0.294;-3.49248431622982
0.315;-3.49248431622982
0.336;-3.49248431622982
0.357;-3.48748219013214
0.378;-3.47747793793678
0.399;-3.45746943354607
0.42;-3.40744817256927
0.441;-3.3524247854948
0.462;-3.26238651573658
0.483;-3.15233974158764
0.504;-3.02728658914566
0.525;-2.88222493231297
0.546;-2.71715477108955
0.567;-2.53207610547543
0.588;-2.3219868093729
0.609;-2.09689113497734
0.63;-1.8667933344841
0.651;-1.60668277740479
0.672;-1.35657647252083
0.693;-1.08145953714848
0.714;-0.811344727873802
0.735;-0.556236296892166
0.756;-0.321136370301247
0.777;-0.0760321915149689
0.798;0.189080491662025
0.819;0.474201679229736
0.84;0.749318614602089
0.861;1.02443554997444
0.882;1.31956098973751
0.903;1.5846736729145
0.924;1.85979060828686
0.945;2.10989691317081
0.966;2.35500109195709
0.987;2.5700925141573
1.008;2.7601733058691
1.029;2.94024984538555
1.05;3.10031788051128
1.071;3.22537103295326
1.092;3.3354178071022
1.113;3.41044969856739
1.134;3.47047521173954
1.155;3.49048371613026
1.176;3.49048371613026
1.197;3.46547308564186
1.218;3.42045395076275
1.239;3.35042418539524
1.26;3.27039016783237
1.281;3.15534126758575
1.302;3.01528173685074
1.323;2.85521370172501
1.344;2.67013503611088
1.365;2.46504786610603
1.386;2.23995219171047
1.407;1.99484801292419
1.428;1.72473320364952
1.449;1.45962052047253
1.47;1.18450358510017
1.491;0.894380271434784
1.512;0.62426546216011
1.533;0.349148526787758
1.554;0.0790337175130844
1.575;-0.171072587370873
1.596;-0.411174640059471
1.617;-0.646274566650391
1.638;-0.906385123729706
1.659;-1.18150205910206
1.68;-1.43661049008369
1.701;-1.69171892106533
1.722;-1.94682735204697
1.743;-2.16692090034485
1.764;-2.38701444864273
1.785;-2.5870994925499
1.806;-2.76717603206635
1.827;-2.9222419410944
1.848;-3.05729934573174
1.869;-3.18235249817371
1.89;-3.28739714622498
1.911;-3.36242903769016
1.932;-3.41245029866695
1.953;-3.44746518135071
1.974;-3.44746518135071
1.995;-3.42745667695999
2.016;-3.38243754208088
2.037;-3.31240777671337
2.058;-3.22236950695515
2.079;-3.11232273280621
2.1;-2.97226320207119
2.121;-2.82219941914082
2.142;-2.65212713181973
2.163;-2.4670484662056
2.184;-2.24695491790771
2.205;-2.03186349570751
2.226;-1.78675931692123
2.247;-1.52664875984192
2.268;-1.28154458105564
2.289;-1.01142977178097
2.31;-0.751319214701652
2.331;-0.511217162013054
2.352;-0.276117235422134
2.373;-0.0360151827335358
2.394;0.234099626541138
2.415;0.514218688011169
2.436;0.784333497285843
2.457;1.06445255875587
2.478;1.34957374632359
2.499;1.6096843034029
2.52;1.86979486048222
2.541;2.11990116536617
2.562;2.35500109195709
2.583;2.56509038805962
2.604;2.7601733058691
2.625;2.94024984538555
2.646;3.08030937612057
2.667;3.2153667807579
2.688;3.31040717661381
2.709;3.38043694198132
2.73;3.43546032905579
2.751;3.46547308564186
2.772;3.47047521173954
2.793;3.44046245515346
2.814;3.39544332027435
2.835;3.3354178071022
2.856;3.23537528514862
2.877;3.11032213270664
2.898;2.96526047587395
2.919;2.79518818855286
2.94;2.60510739684105
2.961;2.41502660512924
2.982;2.17992667853832
3.003;1.92982037365437
3.024;1.65970556437969
3.045;1.40459713339806
3.066;1.12447807192802
3.087;0.844359010457993
3.108;0.574244201183319
3.129;0.294125139713287
3.15;0.0140060782432556
3.171;-0.226095974445343
3.192;-0.451191648840904
3.213;-0.701297953724861
3.234;-0.951404258608818
3.255;-1.22652119398117
3.276;-1.47662749886513
3.297;-1.72673380374908
3.318;-1.96683585643768
3.339;-2.19193153083324
3.36;-2.40202082693577
3.381;-2.59210161864758
3.402;-2.76217390596867
3.423;-2.91723981499672
3.444;-3.04729509353638
3.465;-3.15734186768532
3.486;-3.2573843896389
3.507;-3.33241628110409
3.528;-3.37243328988552
3.549;-3.39744392037392
3.57;-3.4024460464716
3.591;-3.37243328988552
3.612;-3.32741415500641
3.633;-3.24738013744354
3.654;-3.14733761548996
3.675;-3.0422929674387
3.696;-2.897231310606
3.717;-2.74716752767563
3.738;-2.57709524035454
3.759;-2.38201232254505
3.78;-2.17192302644253
3.801;-1.94682735204697
3.822;-1.70672529935837
